order_id,order_date,nsn,item_description,quantity,unit_price,total_price,supplier_id,supplier_name,shipping_code,priority_code,destination,contract_id,days_to_deliver,order_status
DLA-ORD-100001,2024-04-02,5320-00-987-6543,Rivet Assembly,167,1.0,167.0,SUP-001,Mock Vendor X,SC-AIR,05,CONUS-Depot,CON-8892,11,Delivered
DLA-ORD-100002,2026-01-21,6515-01-700-2201,Field Medical Kit,454,46.71,21206.34,SUP-001,Mock Vendor X,SC-GROUND,04,CONUS-Depot,CON-9510,11,Delivered
DLA-ORD-100003,2024-03-16,8415-01-555-1020,Cold Weather Glove Liner,806,8.38,6754.28,SUP-006,Eagle Federal Logistics,SC-AIR,02,Aviation-Depot,CON-6401,26,Delivered
DLA-ORD-100004,2024-08-23,2990-00-832-1190,Fuel Pump Module,874,353.38,308854.12,SUP-007,Blue Ridge Components,SC-AIR,03,FOB-East,CON-2375,22,Delivered
DLA-ORD-100005,2024-04-21,9150-01-123-4567,Turbine Oil,128,20.24,2590.72,SUP-005,Liberty Industrial,SC-EXPEDITE,04,FOB-East,CON-7781,8,Delivered
DLA-ORD-100006,2024-05-16,5320-00-987-6543,Rivet Assembly,192,0.94,180.48,SUP-003,Mock Vendor Z,SC-GROUND,05,Medical-Depot,CON-8892,26,Delivered
DLA-ORD-100007,2023-03-07,4710-01-333-9090,Hydraulic Tube Assembly,849,169.44,143854.56,SUP-001,Mock Vendor X,SC-AIR,02,Port-Hub,CON-3371,14,Delivered
DLA-ORD-100008,2023-10-13,5998-01-444-1122,Control Circuit Card,277,930.37,257712.49,SUP-008,Atlas Defense Supply,SC-AIR,04,OCONUS-Base,CON-1129,10,Delayed
DLA-ORD-100009,2023-07-06,5998-01-444-1122,Control Circuit Card,798,829.32,661797.36,SUP-003,Mock Vendor Z,SC-GROUND,04,Aviation-Depot,CON-1129,22,Delivered
DLA-ORD-100010,2026-02-07,4820-00-111-2222,Legacy Valve,28,582.33,16305.24,SUP-009,Keystone Tactical Goods,SC-AIR,02,Port-Hub,CON-3004,19,Delivered
